id,name,city,state,country,types
30380,The Lone Pint Brewery,Magnolia,TX,US,"Brewery, Bar"
48511,Pint and Plow Brewing Co,Kerrville,TX,US,"Brewery, Bar, Eatery"
56,Celis Brewery Inc.,Austin,TX,US,Brewery
24381,Black Star Co-op Pub & Brewery,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
49345,Vallenson's Brewing Co,Pearland,TX,US,"Brewery, Bar"
615,Texas Beer Company,Fort Worth,TX,US,Brewery
50530,Flying Man Brewing Co.,Pflugerville,TX,US,"Brewery, Bar, Beer-to-go"
31938,BS Brewing,Seguin,TX,US,Brewery
53238,White Rock Alehouse & Brewery,Dallas,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
51806,Cranky Britches Brewing Company,Dickinson,TX,US,"Brewery, Bar"
31272,Martin House Brewing Company,Fort Worth,TX,US,"Brewery, Bar"
126,Pete's Brewing Company,San Antonio,TX,US,Brewery
3258,Humperdinks Brewpub (Northwest Highway),Dallas,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
51050,5x5 Brewing Co.,Mission,TX,US,"Brewery, Bar, Beer-to-go"
52790,Granger City Brewing Company,Granger,TX,US,"Brewery, Bar, Eatery"
2103,"Laboratory Brewing Company, The",San Antonio,TX,US,"Brewery, Eatery"
30301,Joe's Brewhouse,San Angelo,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
46663,Wild Acre Brewing Company,Fort Worth,TX,US,"Brewery, Bar"
27042,Middleton Brewing,San Marcos,TX,US,"Brewery, Bar, Homebrew, Beer-to-go"
51327,Wicked Boxer Brewing,Cypress,TX,US,"Brewery, Bar, Beer-to-go"
31295,Bastrop Brewhouse,Bastrop,TX,US,"Brewery, Bar, Eatery"
42321,Galveston Bay Beer Company,Dickinson,TX,US,"Brewery, Bar"
53327,Brigadoon Brewery,Pasadena,TX,US,"Brewery, Bar, Beer-to-go"
41762,3 Nations Brewing Co.,Farmers Branch,TX,US,"Brewery, Bar"
2599,"Fredericksburg Brewing Company, Inc.",Fredericksburg,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
7059,Alamo Beer Co.,San Antonio,TX,US,"Brewery, Bar"
29830,Texas Big Beer,Buna,TX,US,Brewery
48409,Hi Sign Brewing,Austin,TX,US,"Brewery, Bar"
16759,Southern Star Brewing Company,Conroe,TX,US,Brewery
45335,Saloon Door Brewing,Webster,TX,US,"Brewery, Bar"
36799,IronSight Brewers,Cedar Park,TX,US,"Brewery, Bar, Beer-to-go"
52077,Turning Point Beer,Bedford,TX,US,"Brewery, Bar, Beer-to-go"
28082,Brews Brothers,Galveston,TX,US,"Brewery, Bar, Eatery"
36094,Hullabaloo Diner,College Station,TX,US,"Brewery, Bar, Eatery"
5060,Padre Island Brewing Company,South Padre Island,TX,US,"Brewery, Bar, Eatery"
48790,Bryan-College Station (B-CS) Zoigl Brewery,Bryan,TX,US,"Brewery, Bar, Beer-to-go"
52779,NLand Brewing Company,Del Valle,TX,US,"Brewery, Bar, Eatery"
16088,Uncle Billy's Brew & Que,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
42848,BJ's Restaurant & Brewhouse,Lubbock,TX,US,"Brewery, Bar, Eatery"
3816,Brenham Brewing Company,Brenham,TX,US,Brewery
28784,8th Wonder Brewery,Houston,TX,US,"Brewery, Bar, Beer-to-go"
31875,Big Bend Brewing Co.,Alpine,TX,US,Brewery
25805,Flix Brewhouse,Round Rock,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
38264,Small Brewpub,Dallas,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
14908,BJ's Restaurant & Brewhouse,Arlington,TX,US,"Brewery, Bar, Eatery"
1298,Hill Country Brewing,Austin,TX,US,Brewery
34765,Save The World Brewing Company,Marble Falls,TX,US,"Brewery, Bar"
25091,Uncle Billy's Brew & Que - Lake Travis,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
32581,Austin Beer Garden Brewing Co.,Austin,TX,US,"Brewery, Bar, Eatery"
46095,Backcountry Brewery,Rowlett,TX,US,"Brewery, Bar"
42044,Kinematic Brewing Company,Boerne,TX,US,"Brewery, Bar, Beer-to-go"
53147,Big River Brewery,Pharr,TX,US,"Brewery, Bar, Eatery"
29426,Brash Brewing Company,Houston,TX,US,"Brewery, Bar"
43007,Pinthouse Pizza - South Austin,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
35322,Railroad Seafood Station Brewing Company,Corpus Christi,TX,US,"Brewery, Bar, Eatery"
37472,Pecan Point Brewing Company,Texarkana,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
40217,Zilker Brewing Co.,Austin,TX,US,"Brewery, Bar"
49549,Celis Brewery,Austin,TX,US,"Brewery, Bar"
758,Uncle Buck's Brewery & Steakhouse,Grapevine,TX,US,"Brewery, Bar, Eatery"
45109,Pappy Slokum Brewing Co.,Abilene,TX,US,Brewery
31874,Infamous Brewing Company,Austin,TX,US,"Brewery, Bar"
36077,Flight School Brewing,Arcola,TX,US,Brewery
40084,Twin Peaks Brewing Co.,Irving,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
44379,Rebel Toad Brewing Company,Corpus Christi,TX,US,"Brewery, Bar, Beer-to-go"
14659,Hub City Brewery,Lubbock,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
50448,Baileson Brewing Company,Houston,TX,US,"Brewery, Bar"
44383,Sigma Brewing Company,Houston,TX,US,"Brewery, Bar"
49058,Long Wooden Spoon (LWS) Brewing,Amarillo,TX,US,"Brewery, Bar"
383,Live Oak Brewing Company,Del Valle,TX,US,"Brewery, Bar"
50844,Hop and Sting Brewing Company,Farmers Branch,TX,US,Brewery
47051,Rainier Brewing Co.,San Antonio,TX,US,Brewery
16014,Two Rows Restaurant & Brewery,Allen,TX,US,"Brewery, Eatery"
52417,The Brewtorium,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
27696,Hops and Grain Brewery,Austin,TX,US,"Brewery, Bar"
25619,"Van Der Bönerbosch Brewing Company, LLC",Houston,TX,US,Brewery
52084,Skull Mechanix Brewing,Austin,TX,US,"Brewery, Bar, Beer-to-go"
50994,Southern Heights Brewing Company,Austin,TX,US,"Brewery, Bar"
18823,Freetail Brewing Company,San Antonio,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
49120,HighWheel Beerworks (Dorćol Distilling+ Brewing Co.),San Antonio,TX,US,"Brewery, Bar"
13948,The Faust Hotel (Faust Brewing Company),New Braunfels,TX,US,"Brewery, Eatery"
35964,Blue Owl Brewing,Austin,TX,US,"Brewery, Bar"
53055,The Brewer's Table,Austin,TX,US,"Brewery, Bar, Eatery"
844,Bitter End Brewery and Bistro,Austin,TX,US,"Brewery, Eatery"
4858,Draught House Pub & Brewery,Austin,TX,US,"Brewery, Bar, Eatery"
27934,Adelbert's Brewery,Austin,TX,US,"Brewery, Bar"
52689,Unlawful Assembly Brewing Co.,Plano,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
39322,Good Libations Brewing,Austin,TX,US,Brewery
37298,Huff Brewing Co.,Bellville,TX,US,"Brewery, Bar"
42555,Ode Brewing,El Paso,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
36872,Bar D Brewhouse,San Saba,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
51156,Ghost Pixel Beer Studio,San Antonio,TX,US,Brewery
324,Falstaff Brewing Company,San Antonio,TX,US,Brewery
49344,Ivanhoe Ale Works,Denison,TX,US,"Brewery, Bar, Eatery"
37083,Oddwood Ales,Austin,TX,US,"Brewery, Bar, Eatery"
24018,Jester King Brewery,Austin,TX,US,"Brewery, Bar, Beer-to-go"
2,Yellow Rose Brewing Company,San Antonio,TX,US,Brewery
36176,Panther Island Brewing,Fort Worth,TX,US,"Brewery, Bar"
3047,Copper Tank Brewing Co.,Austin,TX,US,"Brewery, Eatery"
51758,Ingenious Brewing Company,Humble,TX,US,"Brewery, Bar, Beer-to-go"
47850,Manhattan Project Beer Company,Dallas,TX,US,Brewery
25668,Armadillo Ale Works,Denton,TX,US,Brewery
34331,Solid Rock Brewing,Spicewood,TX,US,Brewery
29745,Cedar Creek Brewery,Kemp,TX,US,Brewery
40913,Four Bullets Brewery,Richardson,TX,US,"Brewery, Bar"
1752,Two Rows Restaurant & Brewery,Dallas,TX,US,"Brewery, Eatery"
39248,Last Stand Brewing Company,Austin,TX,US,"Brewery, Bar"
34119,Old Town Brewhouse,Lewisville,TX,US,"Brewery, Bar"
32990,Resignation Brewery,Austin,TX,US,Brewery
10020,BJ's Restaurant & Brewhouse,Houston,TX,US,"Brewery, Bar, Eatery"
30496,Fort Bend Brewing Co.,Missouri City,TX,US,Brewery
28397,South Austin Brewery,Austin,TX,US,"Brewery, Bar"
49210,Altstadt Brewery,Fredericksburg,TX,US,Brewery
52527,Caracara Brewing Company,Lockhart,TX,US,"Brewery, Bar"
11439,"Healthy Brew, Inc.",Fort Worth,TX,US,Brewery
51972,Devil and the Deep Brewery,Galveston,TX,US,"Brewery, Bar, Beer-to-go"
13338,The Covey Restaurant & Brewery,Fort Worth,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
43737,City Acre Brewing,Houston,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
48894,Whistle Post Brewing,Pilot Point,TX,US,"Brewery, Bar"
49640,Westlake Brewing Company,Dallas,TX,US,"Brewery, Bar, Eatery"
47543,HopFusion Ale Works,Fort Worth,TX,US,Brewery
51933,Union Bear Brewing,Plano,TX,US,"Brewery, Bar, Eatery"
50039,Cypress Creek Southern Ales,Winnsboro,TX,US,"Brewery, Bar"
45944,Lorelei Brewing Company,Corpus Christi,TX,US,"Brewery, Bar, Beer-to-go"
34633,Wild Bunch Brewing Co,La Grange,TX,US,Brewery
38495,Big Thicket Brewery,Lufkin,TX,US,"Brewery, Bar"
46786,Malai Kitchen,Dallas,TX,US,"Brewery, Bar, Eatery"
14660,Triple J Chophouse And Brew Co,Lubbock,TX,US,"Brewery, Eatery, Beer-to-go"
48385,Bearded Fox Brewing,Tomball,TX,US,"Brewery, Bar"
24825,Circle Brewing Company,Austin,TX,US,"Brewery, Bar"
44381,Neches Brewing Company,Port Neches,TX,US,"Brewery, Bar, Beer-to-go"
2279,Lovejoy's Taproom,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
12632,"Stampede Brewing Co., Inc",Dallas,TX,US,Brewery
22112,Root Cellar Cafe / Darkside Fermentation,San Marcos,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
27697,Big Texan Brewery,Amarillo,TX,US,"Brewery, Bar, Eatery"
31795,Sean Patrick's,San Marcos,TX,US,"Brewery, Bar, Eatery"
43548,Rentsch Brewery,Georgetown,TX,US,"Brewery, Bar"
51823,Red Gap Brewing,Cisco,TX,US,"Brewery, Bar, Beer-to-go"
47781,Weathered Souls Brewing Co.,San Antonio,TX,US,"Brewery, Bar, Beer-to-go"
37506,Sun Brewing Co.,Canutillo,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
38756,Seguin Brewing Co.,Seguin,TX,US,"Brewery, Bar, Beer-to-go"
44378,Old Omen Brewery,Tyler,TX,US,"Brewery, Beer-to-go"
46198,Eureka Heights Brewing Company,Houston,TX,US,"Brewery, Bar"
25628,Double Horn Brewing Company,Marble Falls,TX,US,"Brewery, Bar, Eatery"
30303,Beerfoot Beach Bar,Galveston,TX,US,"Brewery, Bar"
46890,Mad Pecker Brewing Co.,San Antonio,TX,US,"Brewery, Bar, Eatery"
33668,Naughty Brewing Co.,Austin,TX,US,Brewery
40964,Fetching Lab Brewery,Alvin,TX,US,Brewery
26762,Karbach Brewing Co.,Houston,TX,US,"Brewery, Bar, Eatery"
47629,Bankhead Brewing Co,Rowlett,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
29656,Lakewood Brewing Company,Garland,TX,US,"Brewery, Bar"
33820,Brazos Valley Brewing Company,Brenham,TX,US,"Brewery, Bar"
3352,Humperdinks Restaurant and Sports Bar,Addison,TX,US,"Brewery, Bar, Eatery"
17033,Franconia Brewing Company,McKinney,TX,US,Brewery
54035,Klaus Brewing Company,Houston,TX,US,"Brewery, Bar"
