id,name,brewery_id,style,availability,abv
172383,Session Black IPA,31066,American Black Ale,Rotating,5.0
328472,End of The Line - Simcoe IPA,33820,American IPA,Rotating,6.5
161903,Calypso,25622,American IPA,Rotating,6.1
163158,Tart,39455,Fruit and Field Beer,Rotating,5.0
341546,Reality Bath,43007,American Imperial IPA,Rotating,9.4
283788,Black Matter,47850,English Oatmeal Stout,Year-round,8.6
262196,Longest Night,37532,American Imperial Stout,Rotating,11.5
264790,Night Of Terror,37552,American Imperial Stout,Rotating,15.0
243882,Tipperyery Stout,39446,Irish Dry Stout,Rotating,5.3
139809,11 Amp,24326,American IPA,Rotating,7.2
371257,Mark's Mishop,24326,American Pale Ale (APA),Limited (brewed once),4.6
328995,Kava,46725,European Dark Lager,Limited (brewed once),3.4
249711,The 'Murican Dream,31066,American IPA,Rotating,6.4
280973,Socrates Coffee IPA,31228,American Black Ale,Rotating,6.5
209790,Simple Joule,43735,American Imperial Stout,Rotating,10.0
329608,Long-Range Pils,30128,German Pilsner,Year-round,4.8
276944,Joe's Magical Pils,43007,German Pilsner,Rotating,5.1
176217,Dubbel Duck Abbey Ale,6339,Belgian Dubbel,Rotating,7.0
171291,Black Metal Wild Imperial Stout,24018,American Stout,Rotating,9.1
338464,Dopplebock,36212,German Doppelbock,Rotating,9.0
169858,Infamy,31874,English Old Ale,Rotating,9.5
32785,Prosit Pilsner,2642,German Pilsner,Rotating,5.3
264547,Looyah Tooyah,45647,American Imperial Stout,Rotating,8.6
357229,Neon Summer,40217,American Pale Ale (APA),Rotating,5.2
152017,Redrum,25622,American IPA,Rotating,8.7
312418,Bishop's Barrel 19,337,English Old Ale,Limited (brewed once),7.6
351885,Ole Boy,45335,American Amber / Red Ale,Rotating,5.6
295310,Falkor,24825,Belgian Witbier,Rotating,5.5
333721,The Shady Knoll Lurker,37083,American IPA,Rotating,6.4
311811,Futureman,48409,American IPA,Rotating,5.6
287408,Saison Americaine,24018,Belgian Saison,Rotating,5.2
319292,Knucklehead,44379,American Amber / Red Ale,Limited (brewed once),5.5
280600,Pale Ale,45647,American Pale Ale (APA),Year-round,6.0
348009,Don’t Fear The Dank Side,40236,American IPA,Rotating,7.8
100739,Field Trip,32581,Belgian Pale Ale,Rotating,5.5
163691,Three Fiddlers,37612,Belgian Tripel,Rotating,9.2
327754,Heart Breaker,43098,American Wild Ale,Limited (brewed once),5.5
310719,Ft. Worth Pils,46663,Bohemian Pilsener,Year-round,5.7
345310,Zythophile Calypso,30380,American IPA,Limited (brewed once),6.6
200174,Fresa Wit,42555,Belgian Witbier,Rotating,5.5
371625,It's Probably Awesome,50994,American IPA,Rotating,6.7
73363,Fresh Hop Da Truck,18823,American Pale Ale (APA),Fall,5.0
313747,Gobble Gobble Goo,45648,American IPA,Rotating,6.9
10457,Century Stout,4858,Russian Imperial Stout,Rotating,8.1
86891,Brahmale,1418,American Imperial IPA,Year-round,9.5
344980,Slow Down,50877,American Pale Ale (APA),Rotating,5.8
317197,Eclipse,45648,American IPA,Limited (brewed once),5.6
318303,Downtown Shiloh Brown,51327,American Brown Ale,Rotating,5.0
169955,Session IPA,40217,Belgian IPA,Year-round,5.5
340675,Rowan,51901,American IPA,Rotating,6.7
234300,Oatmeal Stout,45944,American Stout,Rotating,5.7
182904,Raspberry Great White Buffalo,28255,Belgian Witbier,Spring,5.8
271144,Shiner Golden Ale,143,American Blonde Ale,Year-round,4.6
325366,American Beauty,36212,American Pale Ale (APA),Rotating,5.0
2255,Full Moon Pale Rye Ale,458,Rye Beer,Year-round,5.6
243879,Wild Brew Yonder,39446,American Wild Ale,Rotating,5.2
157043,Jack Froth,34119,Winter Warmer,Rotating,6.5
27598,Liberator,383,German Doppelbock,Rotating,7.2
321468,Saison A-Fond,35016,Belgian Saison,Rotating,6.3
78927,Saint Arnold Endeavour IPA,337,American Imperial IPA,Year-round,9.0
238720,Azzaca Blonde,37532,American Blonde Ale,Rotating,4.8
374022,Tangerine High Boy,10284,American Imperial IPA,Rotating,9.0
318658,Slayrider,37552,American Imperial Stout,Limited (brewed once),15.0
191846,Oktoberfest,35022,German Märzen / Oktoberfest,Rotating,5.8
75920,Alt-eration Ale,27696,German Altbier,Year-round,5.0
69297,Rover,24381,Belgian Tripel,Rotating,7.5
41687,Uncle Billy's Bitchin' Camaro,16088,American Amber / Red Ale,Rotating,5.7
369838,Coffee Stout,29440,American Stout,Year-round,8.8
86139,Scots Gone Wild,458,American Wild Ale,Rotating,9.7
313063,"Blood, Sweat, & Mostly Tears",25667,Leipzig Gose,Rotating,3.0
255347,2016 Estival Dichotomous,24018,Belgian Saison,Winter,5.1
322457,Darkhaven,48264,English Dark Mild Ale,Rotating,3.7
241498,Chocolate Peanut Butter Blonde,36212,American Blonde Ale,Rotating,6.5
196350,Honesty Of Reason,16759,American IPA,Rotating,7.0
86414,Commercial Suicide Oaked Farmhouse Mild,24018,English Dark Mild Ale,Year-round,2.9
338471,Firewalker,29426,American Imperial Stout,Limited (brewed once),10.0
256740,Texas X-Mas - Sinful Delight,41762,English Sweet / Milk Stout,Rotating,8.3
72834,Weisse Versa Wheat,26762,German Hefeweizen,Year-round,5.2
77627,Deep Ellum IPA,27403,American IPA,Year-round,7.0
155166,Tripel Treat (Rum Barrel Aged Tripel),27934,Belgian Tripel,Rotating,11.7
181382,Rude Jester,33844,American IPA,Summer,7.5
117487,Don't Fear The RIPA,28255,Rye Beer,Spring,7.5
269776,Belgian Hostel Slumber Party,18823,Foreign / Export Stout,Rotating,7.2
307672,Tartadactyl,18823,American Wild Ale,Rotating,5.5
138119,Morpheus,27403,Belgian Strong Pale Ale,Rotating,8.0
229538,Jeremiah Red,10020,Irish Red Ale,Year-round,7.3
266548,7870Blue,27696,German Kölsch,Rotating,5.35
327532,Belgian Gold,25622,Belgian Strong Pale Ale,Rotating,7.5
316457,Manamana,45648,American IPA,Rotating,6.9
353981,Three Seashells,44383,American Pale Ale (APA),Rotating,6.3
232400,Deebo Double IPA,10284,American Imperial IPA,Rotating,8.4
269403,Fiona,32581,American Wild Ale,Rotating,5.4
174379,Summer Melons,32581,Fruit and Field Beer,Rotating,4.5
296034,GoodGoodNotBad,47781,American Wild Ale,Rotating,6.0
235312,Sex In A Canoe,41464,American Light Lager,Year-round,4.2
338710,Stout,52456,American Stout,Year-round,7.5
81986,Bourbon Barrel Aged Hellfighter,26762,American Porter,Rotating,10.8
260086,Reverie,31272,American Wild Ale,Rotating,5.2
90650,Hooligan,24825,Irish Red Ale,Spring,4.5
270734,Hye-Biscus,25622,American Blonde Ale,Year-round,5.5
251607,Buzz Nutz,28255,American Porter,Fall,7.3
345892,Saint Arnold Art Car (With Valencia Orange),337,American IPA,Limited (brewed once),7.17
130619,Summer Wheat,28181,German Hefeweizen,Summer,5.0
267837,Chain Rattler,47266,American Imperial Stout,Rotating,9.0
204880,Oktoberfest,36212,German Märzen / Oktoberfest,Rotating,5.5
370870,Mojito Lime,24326,Leipzig Gose,Year-round,5.2
218120,Hairy Man English Strong Ale,39548,English Strong Ale,Rotating,7.9
348379,Peanut Butter Vs. Jelly,51758,American Porter,Rotating,8.1
67098,(512) Black IPA,17863,American Black Ale,Spring,7.5
311850,Phantom Works Mandarina IPA,50530,American IPA,Rotating,5.5
23720,Devil's Backbone,458,Belgian Tripel,Year-round,8.1
349570,Fiona YSB#5,32581,American Wild Ale,Rotating,3.8
110702,Rapture,33844,American Brown Ale,Year-round,6.0
83842,Wealth & Taste,27403,Belgian Strong Pale Ale,Spring,9.5
131688,Rocket 100,32581,American Adjunct Lager,Rotating,5.5
247502,Mama Tried,33820,American IPA,Year-round,6.6
209109,Hopothecary,31066,American Pale Ale (APA),Rotating,6.0
240600,Golden Café Au Lait Stout,35323,English Sweet / Milk Stout,Rotating,4.2
36490,Bombay IPA,4858,American IPA,Rotating,6.5
185426,Early Morning Shakes,35016,American Pale Ale (APA),Rotating,4.9
371915,'Ello Guv'na,54035,English India Pale Ale (IPA),Rotating,6.2
